Municipal_Authoritie,Neighbor 1,Neighbor 2,Neighbor 3,Neighbor 4,Neighbor 5,Neighbor 6,Neighbor 7
אבו סנאן,מסעדה (0.4),בועיינה - נוג'ידאת (0.4),שעב (0.4),עילבון (0.4),מעיליא (0.4),סאג'ור (0.4),נצרת (0.4)
אל בטוף,ג'דיידה - מכר (0.3),ביר אל מכסור (0.5),טמרה (0.5),כעביה - טבאש - חג'אג'רה (0.5),ג'לג'וליה (0.6),בוסתאן אל מרג' (0.6),נווה מדבר (0.6)
אל קסום,כעביה - טבאש - חג'אג'רה (0.5),נווה מדבר (0.5),אל בטוף (0.8),עין מאהל (0.8),ג'וליס (0.9),ביר אל מכסור (0.9),ג'דיידה - מכר (0.9)
ביר אל מכסור,בוסתאן אל מרג' (0.1),ג'דיידה - מכר (0.2),טמרה (0.2),ג'וליס (0.2),כפר כנא (0.2),כסייפה (0.2),כפר מנדא (0.2)
ג'דיידה - מכר,ביר אל מכסור (0.2),טמרה (0.2),בוסתאן אל מרג' (0.2),עראבה (0.3),כפר מנדא (0.3),חורפיש (0.3),כפר כנא (0.3)
ג'וליס,עין מאהל (0.0),בוסתאן אל מרג' (0.2),ביר אל מכסור (0.2),כפר ברא (0.2),זמר (0.2),שבלי - אום אל רנם (0.3),ע'ג'ר (0.3)
זבולון,פקיעין (בוקייעה) (0.4),ערבה תיכונה (0.8),חוף אשקלון (0.8),ערבות הירדן (0.8),נחל שורק (0.8),יואב (0.9),מטה אשר (0.9)
זמר,כפר ברא (0.0),שבלי - אום אל רנם (0.1),ע'ג'ר (0.2),עין מאהל (0.2),ג'וליס (0.2),לקייה (0.3),חורה (0.3)
כעביה - טבאש - חג'אג'רה,נווה מדבר (0.0),ג'וליס (0.3),עין מאהל (0.3),ביר אל מכסור (0.4),בוסתאן אל מרג' (0.5),ג'דיידה - מכר (0.5),אל קסום (0.5)
כפר ברא,זמר (0.0),שבלי - אום אל רנם (0.1),ע'ג'ר (0.2),עין מאהל (0.2),ג'וליס (0.2),חורה (0.3),לקייה (0.3)
מנשה,מטולה (0.2),מזרעה (0.2),מעלה יוסף (0.2),בני שמעון (0.2),עמק יזרעאל (0.2),יאנוח - ג'ת (0.2),מעלה אפרים (0.2)
מסעדה,מעיליא (0.2),כפר קאסם (0.2),תל שבע (0.2),נחף (0.2),עין קיניה (0.2),כאבול (0.3),בועיינה - נוג'ידאת (0.3)
נאות חובב,אל קסום (0.9),אל בטוף (0.9),זבולון (1.2),כעביה - טבאש - חג'אג'רה (1.2),נווה מדבר (1.2),ג'דיידה - מכר (1.3),פקיעין (בוקייעה) (1.4)
נווה מדבר,כעביה - טבאש - חג'אג'רה (0.0),עין מאהל (0.3),ג'וליס (0.3),ביר אל מכסור (0.4),בוסתאן אל מרג' (0.4),ג'דיידה - מכר (0.5),כפר ברא (0.5)
עין מאהל,ג'וליס (0.0),כפר ברא (0.2),זמר (0.2),בוסתאן אל מרג' (0.2),ביר אל מכסור (0.3),שבלי - אום אל רנם (0.3),נווה מדבר (0.3)
פקיעין (בוקייעה),ערבה תיכונה (0.3),חוף אשקלון (0.4),ערבות הירדן (0.4),יואב (0.4),באר יעקב (0.4),ביתר עילית (0.4),זבולון (0.4)
שבלי - אום אל רנם,זמר (0.1),כפר ברא (0.1),ע'ג'ר (0.2),לקייה (0.3),עין מאהל (0.3),ג'וליס (0.3),חורה (0.3)
תל שבע,כאבול (0.1),כפר קאסם (0.2),מסעדה (0.2),ערערה (0.2),עין קיניה (0.2),מג'ד אל כרום (0.2),מעיליא (0.3)
